Index,Close,SMA,EMA,RSI,StochK,StochD
1000,17.47,15.80,2.33,66.34,100.00,100.00
1001,17.50,15.96,2.33,69.78,100.00,100.00
1002,17.61,16.14,2.35,71.16,100.00,100.00
1003,17.86,16.35,2.38,73.88,100.00,100.00
1004,17.94,16.59,2.39,80.39,100.00,100.00
1005,17.75,16.76,2.37,73.63,93.31,97.77
1006,17.41,16.85,2.32,63.39,81.34,91.55
1007,17.95,17.05,2.39,86.44,100.00,91.55
1008,18.11,17.26,2.41,86.95,100.00,93.78
1009,17.88,17.42,2.38,79.46,90.46,96.82
1010,18.29,17.58,2.44,79.84,100.00,96.82
1011,18.05,17.69,2.41,71.43,86.21,92.22
1012,18.40,17.82,2.45,73.68,100.00,95.40
1013,19.29,17.97,2.57,75.61,100.00,95.40
1014,19.26,18.09,2.57,73.25,98.40,99.47
1015,19.66,18.25,2.62,75.59,100.00,99.47
1016,19.96,18.41,2.66,76.64,100.00,99.47
1017,19.41,18.53,2.59,66.45,78.43,92.81
1018,19.77,18.66,2.64,68.34,92.55,90.33
1019,19.89,18.81,2.65,71.75,97.25,89.41
1020,19.72,18.97,2.63,74.32,90.59,93.46
1021,20.01,19.12,2.67,72.89,100.00,95.95
1022,20.41,19.29,2.72,74.26,100.00,96.86
1023,21.11,19.52,2.81,81.00,100.00,100.00
1024,21.04,19.71,2.81,78.23,97.71,99.24
1025,20.71,19.90,2.76,76.81,86.93,94.88
1026,20.14,20.03,2.69,66.80,64.21,82.95
1027,20.34,20.10,2.71,61.69,58.38,69.84
1028,19.59,20.13,2.61,53.17,17.84,46.81
1029,20.04,20.15,2.67,53.61,37.06,37.76
1030,19.98,20.15,2.66,50.20,33.53,29.48
1031,19.05,20.13,2.54,46.67,0.00,23.53
1032,18.95,20.07,2.53,42.02,0.00,11.18
1033,18.46,19.97,2.46,37.02,0.00,0.00
1034,18.36,19.87,2.45,37.50,0.00,0.00
1035,17.72,19.71,2.36,30.22,0.00,0.00
1036,18.35,19.56,2.45,32.89,18.58,6.19
1037,17.95,19.33,2.39,22.38,6.78,2.26
1038,18.30,19.14,2.44,27.17,17.47,8.08
1039,18.71,19.00,2.49,33.55,33.11,19.12
1040,18.35,18.87,2.45,34.75,24.05,24.88
1041,19.30,18.79,2.57,42.15,60.31,39.15
1042,18.80,18.74,2.51,43.80,46.55,43.63
1043,19.26,18.68,2.57,43.89,66.38,57.75
1044,19.00,18.61,2.53,42.55,56.64,56.52
1045,18.65,18.58,2.49,46.67,58.86,60.63
1046,18.75,18.57,2.50,48.33,65.19,60.23
1047,18.99,18.61,2.53,54.61,80.38,68.14
1048,19.26,18.67,2.57,57.60,97.47,81.01
1049,18.50,18.73,2.47,56.46,49.37,75.74
1050,18.95,18.77,2.53,55.12,74.07,73.64
1051,18.71,18.82,2.49,56.67,56.30,59.91
1052,18.79,18.86,2.51,54.51,49.00,59.79
1053,19.40,18.91,2.59,56.13,100.00,68.43
1054,20.25,19.04,2.70,65.52,100.00,83.00
1055,19.98,19.09,2.66,56.25,84.57,94.86
1056,19.87,19.17,2.65,60.59,78.29,87.62
1057,20.14,19.23,2.69,59.05,93.71,85.52
1058,20.00,19.30,2.67,60.55,85.71,85.90
1059,20.08,19.40,2.68,66.00,90.29,89.90
1060,20.19,19.51,2.69,66.07,96.57,90.86
1061,21.46,19.68,2.86,72.41,100.00,95.62
1062,21.09,19.82,2.81,66.31,87.50,94.69
1063,21.00,19.99,2.80,75.30,84.46,90.65
1064,22.82,20.27,3.04,80.67,100.00,90.65
