Index,Close,SMA,EMA,RSI,StochK
175,36.87,36.59,36.78,44.10,71.67
176,37.29,36.62,36.85,53.15,100.00
177,37.33,36.71,36.91,65.87,100.00
178,37.96,36.84,37.05,69.72,100.00
179,37.55,36.94,37.12,63.10,77.35
180,38.30,37.02,37.27,62.73,100.00
181,38.54,37.15,37.44,68.03,100.00
182,38.53,37.29,37.59,70.04,99.58
183,39.00,37.48,37.78,78.31,100.00
184,39.37,37.70,37.99,79.81,100.00
185,39.33,37.93,38.17,81.05,98.50
186,39.60,38.11,38.36,78.44,100.00
187,39.04,38.24,38.45,68.71,80.69
188,39.57,38.45,38.60,79.23,98.90
189,36.89,38.45,38.37,50.13,0.00
190,37.12,38.44,38.20,48.82,8.49
191,38.06,38.49,38.18,54.49,43.17
192,38.29,38.51,38.20,52.13,51.66
193,38.44,38.58,38.23,55.96,57.20
194,38.50,38.59,38.27,51.47,59.41
195,38.34,38.58,38.28,48.51,53.51
196,37.76,38.52,38.21,44.70,32.10
197,37.11,38.39,38.06,37.32,8.12
198,37.34,38.24,37.97,36.11,16.61
199,36.51,38.04,37.77,32.59,0.00
200,36.85,37.84,37.65,33.17,11.11
201,36.27,37.65,37.46,33.09,0.00
202,36.32,37.41,37.31,28.92,2.24
203,35.70,37.33,37.10,39.47,0.00
204,35.73,37.23,36.91,37.25,1.07
205,36.84,37.14,36.90,39.15,40.71
206,37.41,37.08,36.97,42.62,61.07
207,36.65,36.95,36.93,36.38,33.93
208,36.88,36.84,36.92,37.98,44.70
209,37.64,36.79,37.02,45.23,94.17
210,37.68,36.78,37.11,49.41,100.00
211,37.73,36.83,37.19,55.00,100.00
212,37.43,36.83,37.22,50.72,85.22
213,37.92,36.93,37.31,61.89,100.00
214,38.69,37.06,37.50,64.47,100.00
215,38.53,37.23,37.64,69.02,94.65
216,38.60,37.39,37.76,69.13,96.99
217,38.40,37.58,37.85,74.37,90.20
218,38.50,37.78,37.94,74.69,90.69
219,38.15,37.87,37.96,63.51,73.53
220,38.33,37.94,38.01,60.31,82.35
221,38.07,38.04,38.02,67.93,65.75
222,38.43,38.15,38.08,68.95,79.37
223,38.44,38.21,38.12,61.98,80.16
224,37.52,38.20,38.04,48.10,7.14
225,37.32,38.17,37.95,45.31,0.00
226,37.84,38.20,37.93,54.47,37.96
227,38.51,38.24,38.01,56.18,86.86
228,38.63,38.23,38.09,49.27,100.00
229,38.05,38.20,38.09,44.71,55.73
230,37.71,38.14,38.04,40.75,29.77
231,37.09,38.04,37.91,37.48,0.00
232,37.03,37.94,37.79,35.84,0.00
233,37.06,37.86,37.70,38.81,1.88
234,36.72,37.74,37.57,34.00,0.00
235,36.50,37.63,37.42,34.27,0.00
236,35.93,37.45,37.22,25.96,0.00
237,35.90,37.27,37.05,25.67,0.00
238,34.81,37.08,36.75,24.86,0.00
239,34.68,36.89,36.47,25.19,0.00
240,35.46,36.72,36.34,28.67,19.75
241,35.82,36.53,36.27,24.48,28.86
242,37.66,36.46,36.45,43.06,88.43
243,37.50,36.42,36.59,45.81,93.07
244,36.94,36.36,36.64,44.33,75.84
245,38.38,36.46,36.87,58.48,100.00
246,38.20,36.54,37.05,57.57,95.14
247,38.15,36.62,37.20,57.03,93.78
248,38.58,36.75,37.38,61.86,100.00
249,38.79,36.91,37.57,64.62,100.00
